asin,title,brand,brand_id,product_url,image_url,currency,deal_price,list_price,badge_discount_pct,badge_label,deal_type,deal_state,deal_id,percent_claimed,deal_ends_at,rating,review_count,pct_5_star,pct_1_star,category,product_type,department_ids,has_variations,is_pinned,source_filter,discount_pct,savings_abs,hours_remaining,is_time_limited,price_band,discount_band,review_band,deal_score,scraped_at
B0GVTPKJVT,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 4 GB RAM, 32 GB, Black",Amazon,323125,https://www.amazon.com/Amazon-relaxation-vibrant-octa-core-processor/dp/B0GVTPKJVT,https://m.media-amazon.com/images/I/41vTSMa6mNL,USD,,,,,,,,,,,,,,gl_digital_text_2,AMAZON_TABLET,"16333372011,541966,172282,493964,16333373011",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0D9WVPLVN,"Beckham Hotel Collection Euro Size Throw Pillows (Set of 2), 26 x 26 | Down Alternative Pillow Insert for Bed, Couch, and Sofa",Beckham Hotel Collection,399184,https://www.amazon.com/Beckham-Hotel-Collection-Pillows-Alternative/dp/B0D9WVPLVN,https://m.media-amazon.com/images/I/411AV+bcntL,USD,34.96,49.99,30.0,30% off,LIGHTNING_DEAL,AVAILABLE,6ab750b9,11.0,2026-09-17 04:25:00+00:00,,,,,gl_home,PILLOW,"1055398,1063498",True,False,landing,30.0,15.03,5.0,True,$25–50,20–30%,,18.0,2026-09-16 23:25:19.134315+00:00
B0BRYCXRPG,"Physician's CHOICE Probiotics 60 Billion CFU - 10 Strains + Organic Prebiotics - Immune, Digestive & Gut Health - Supports Occasional Constipation, Diarrhea, Gas & Bloating - for Women & Men - 84ct",Physician's CHOICE,390464,https://www.amazon.com/Physicians-CHOICE-Probiotics-Capsules-Billion/dp/B0BRYCXRPG,https://m.media-amazon.com/images/I/51QFVq8z-gL,USD,,,,,,,,,,,,,,gl_drugstore,NUTRITIONAL_SUPPLEMENT,"3760901,3760931",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0DJMP6T3N,"BISSELL Little Green Mini Portable Carpet Cleaner, 4075 | HydroRinse self-cleaning tool; 4-in. tough stain tool; upholstery & car detailing; Tea Green color",Bissell,213716,https://www.amazon.com/BISSELL-Upholstery-HydroRinse-Self-Cleaning-4075/dp/B0DJMP6T3N,https://m.media-amazon.com/images/I/415MxmXqmWL,USD,88.99,99.99,11.0,11% off,BEST_DEAL,AVAILABLE,3c57320d,,,,,,,gl_home,CARPET_UPHOLSTERY_CLEANING_MACHINE,"1055398,1063498",True,False,landing,11.0,11.0,,False,$50–100,10–20%,,6.6,2026-09-16 23:25:19.134315+00:00
B0H12KX1X4,"Samsung Galaxy Z Fold8 Ultra Unlocked Android Smartphone, 256GB Graphite | Customized Processor, 5000 mAh Battery, Side-By-Side Multitasking, 12 GB Memory, 200MP Camera, Now Nudge, Photo Assist",Samsung,46655,https://www.amazon.com/Samsung-Unlocked-Android-Smartphone-Graphite/dp/B0H12KX1X4,https://m.media-amazon.com/images/I/31uKMpAn-yL,USD,,,,,,,,,,,,,,gl_wireless,CELLULAR_PHONE,"2335752011,2335753011",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0GHRBHVMJ,"Google Pixel 10a - 30+ Hours Battery, Camera Coach, Gemini - Berry 128GB | Gemini Live, durable design, 7 years of Pixel Drops, 30+ hour battery, Camera Coach, Call Screen, Car Crash Detection",Google,370584,https://www.amazon.com/Google-Pixel-10a-Battery-Camera/dp/B0GHRBHVMJ,https://m.media-amazon.com/images/I/31eDoLNCEeL,USD,,,,,,,,,,,,,,gl_wireless,CELLULAR_PHONE,"2335752011,2335753011",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0DD64SSJS,"Garmin fēnix® 8, Sapphire, 43mm, Fog Gray/Dark Sandstone | Premium Multisport Smartwatch, AMOLED Display, GPS, Built-In Flashlight, Dive-Rated, Built-In Speakers & Mic",Garmin,222211,https://www.amazon.com/Garmin-f%C4%93nix%C2%AE-Multisport-Long-Lasting-Built/dp/B0DD64SSJS,https://m.media-amazon.com/images/I/41hrn+wNPWL,USD,849.98,1099.99,23.0,23% off,BEST_DEAL,AVAILABLE,0965abfa,,2026-09-17 06:59:59+00:00,,,,,gl_wireless,WEARABLE_COMPUTER,"172282,493964",True,False,landing,23.0,250.01,7.6,True,$250+,20–30%,,13.8,2026-09-16 23:25:19.134315+00:00
B0CM4NXMV2,"Cottonelle Ultra Clean Toilet Paper, 24 Family Mega Rolls=132 Regular Rolls",Cottonelle,237748,https://www.amazon.com/Cottonelle-CleaningRipples-Texture-Regular-Packaging/dp/B0CM4NXMV2,https://m.media-amazon.com/images/I/51LwlHsmWZL,USD,24.82,27.59,10.0,10% off,BEST_DEAL,AVAILABLE,02711399,,,,,,,gl_drugstore,TOILET_PAPER,"3760901,3760931",False,False,landing,10.0,2.77,,False,$10–25,0–10%,,6.0,2026-09-16 23:25:19.134315+00:00
B0F7Z4QZTT,"Amazon Fire TV Stick 4K Plus (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream hundreds of thousands of movies and shows, free & live TV, find shows faster with Alexa+",Amazon,323125,https://www.amazon.com/Amazon-newest-AI-powered-Search-million/dp/B0F7Z4QZTT,https://m.media-amazon.com/images/I/31vGhsksTCL,USD,,,,,,,,,,,,,,gl_digital_devices_4,DIGITAL_DEVICE_4,"16333372011,1266092011,172282,493964,16333373011",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B07D5DN269,"Niagara Sleep Solution Queen Ultra Soft Mattress Topper — Back Pain Relief | Rayon Derived from Bamboo, 20"" Deep Pocket, Breathable Pillow Top Mattress Pad, Perfect for Hot Sleepers, Green",Niagara Sleep Solution,249229,https://www.amazon.com/Viscose-Bamboo-Queen-Mattress-Topper/dp/B07D5DN269,https://m.media-amazon.com/images/I/41XSwwaHfFL,USD,,,,,,,,,,,,,,gl_furniture,MATTRESS_COVER,"1055398,1063498",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0FH655984,"SUPFINE Magnetic for iPhone 18 Pro Max Case/iPhone 17 Pro Max Case Black | With Screen Protector, Translucent Matte, Compatible with MagSafe, Military Grade Drop Proof, Rugged Shockproof Protective",SUPFINE,930080,https://www.amazon.com/SUPFINE-Pro-Max-Case-Anti-Fingerprint/dp/B0FH655984,https://m.media-amazon.com/images/I/41xu3Cr2CRL,USD,5.58,9.99,44.0,44% off,BEST_DEAL,AVAILABLE,921ca0f0,,,,,,,gl_wireless,CELLULAR_PHONE_CASE,"2335752011,2335753011",True,False,landing,44.0,4.41,,False,<$10,40–50%,,26.4,2026-09-16 23:25:19.134315+00:00
B07VVK39F7,"Levoit Air Purifier for Home Pets Hair Allergens in Bedroom Quiet Purifiers | Quiet HEPA Sleep Mode, Remove 99.97% Dust Pollen Smoke Pet Odor, AHAM VERIFIDE, Core300-P, Up to 1073 ft², White",Levoit,558260,https://www.amazon.com/LEVOIT-Purifier-Home-Allergies-Pets/dp/B07VVK39F7,https://m.media-amazon.com/images/I/419EDCYNm+L,USD,84.98,99.99,15.0,15% off,BEST_DEAL,AVAILABLE,ccbf8f64,,,,,,,gl_home,AIR_PURIFIER,"1055398,1063498",True,False,landing,15.0,15.01,,False,$50–100,10–20%,,9.0,2026-09-16 23:25:19.134315+00:00
B0DT2344N3,"Beats Powerbeats Pro 2 - Wireless Noise Cancelling Workout Earbuds with Secure- Fit Earhooks, Up to 45-Hour Battery with Charging Case, Sweat & Water Resistant, Heart Rate Monitoring - Jet Black",Beats,325772,https://www.amazon.com/Beats-Powerbeats-Wireless-Bluetooth-Earbuds/dp/B0DT2344N3,https://m.media-amazon.com/images/I/31uRiWlPUkL,USD,,,,,,,,,,,,,,gl_electronics,HEADPHONES,"172282,172541,493964",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0C1NM42PN,"BEDLORE Waterproof Mattress Protector, Queen Size Mattress Pad Noiseless | Deep Pockets Fit 6""-18"" Mattresses, Soft Breathable Dirt-proof Bed Mattress Cover Washable for Home, Bedroom, Hotel (White)",BEDLORE,4742140,https://www.amazon.com/BEDLORE-Waterproof-Protector-Noiseless-Breathable/dp/B0C1NM42PN,https://m.media-amazon.com/images/I/41WZQl+cxuL,USD,,,,,,,,,,,,,,gl_home,MATTRESS_COVER,"1055398,1063498",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0FW29X5ZZ,"Waterpik Cordless Pulse 3100 Portable Water Flosser, Rechargeable, Pink | 2 Settings, 1 Precision Tip & 1 Tongue Cleaner Tip for Fresh Breath, Travel, Shower Use, ADA Accepted, WF-20 Amazon Exclusive",Waterpik,129592,https://www.amazon.com/Waterpik-Cordless-Rechargeable-Waterproof-Exclusive/dp/B0FW29X5ZZ,https://m.media-amazon.com/images/I/41Z9Wi0MuNL,USD,34.99,49.99,,,,,,,,,,,,gl_beauty,ORAL_IRRIGATOR,"3760901,3760931",True,False,landing,30.0,15.0,,False,$25–50,20–30%,,18.0,2026-09-16 23:25:19.134315+00:00
B0DJGDC3BD,"Amazon Fire TV Stick HD (newest model), free & live TV, Alexa Voice Remote, powered by the TV, effortless setup, find shows faster with Alexa+",Amazon,323125,https://www.amazon.com/Amazon-Fire-TV-Stick-HD-Thin-and-Portable/dp/B0DJGDC3BD,https://m.media-amazon.com/images/I/313YUMUXo8L,USD,,,,,,,,,,,,,,gl_digital_devices_4,DIGITAL_DEVICE_4,"16333372011,1266092011,172282,493964,16333373011",False,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0BGPF71Q6,"LEVOIT Smart Air Purifier for Home Large Room up to 1875 Ft² Vital 200S-P | For Quiet Bedroom at 27dB, AHAM VERIFIDE, Air Quality Monitor, HEPA Sleep Mode for Allergies, Pet Hair and dander, White",Levoit,558260,https://www.amazon.com/LEVOIT-Smart-Purifier-Large-200S-P/dp/B0BGPF71Q6,https://m.media-amazon.com/images/I/510mgrRPPIL,USD,167.96,189.99,12.0,12% off,BEST_DEAL,AVAILABLE,b6c3ea0c,,,,,,,gl_home,AIR_PURIFIER,"1055398,1063498",True,False,landing,12.0,22.03,,False,$100–250,10–20%,,7.2,2026-09-16 23:25:19.134315+00:00
B0C3HCD34R,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Black | Over-Ear, Bluetooth, 40H ANC Playtime, Hi-Res Audio, Big Bass, Transparency Mode, Customize via App, Travel, Home, Office",Soundcore,324795,https://www.amazon.com/soundcore-Cancelling-Headphones-Bluetooth-Transparency/dp/B0C3HCD34R,https://m.media-amazon.com/images/I/41-LcaT-aKL,USD,,,,,,,,,,,,,,gl_electronics,HEADPHONES,"172282,172541,493964",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0DMYXH7NX,"In The Swim Pool Closing Kit and Winter Pill Bundle - 7,500 Gallons | Winterizing Chemicals for Above Ground and In-Ground Pools",In The Swim,551635,https://www.amazon.com/Swim-Closing-Winter-Bundle-Ground/dp/B0DMYXH7NX,https://m.media-amazon.com/images/I/41aVUjXBl0L,USD,,,,,,,,,,,,,,gl_lawn_and_garden,POOL_SPA_WATER_TREATMENT,"2972638011,3238155011",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0D3D5LKG9,"BEDLORE Queen Mattress Topper, Thick Soft Pillow Top Bed Topper | Viscose Bamboo, Stretchable Pockets Fit 6”-18”, Breathable Mattress Topper for Back Pain Relief and Hot Sleepers(Dark Gray)",BEDLORE,4742140,https://www.amazon.com/Mattress-Viscose-Derived-Stretchable-Pockets/dp/B0D3D5LKG9,https://m.media-amazon.com/images/I/510m-SjTziL,USD,,,,,,,,,,,,,,gl_home,MATTRESS_COVER,"1055398,1063498",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0HCYX8QBJ,"Miracase Silicone & Magnetic for iPhone 18 Pro Max Case, Burgundy | Compatible with MagSafe, Camera Control Cover, Premium Silicone Cover Shockproof Drop Protection Phone Case for 18 Pro Max",Miracase,250953,https://www.amazon.com/Miracase-Silicone-Magnetic-iPhone-Burgundy/dp/B0HCYX8QBJ,https://m.media-amazon.com/images/I/41uakIhkC3L,USD,21.98,24.99,12.0,12% off,BEST_DEAL,AVAILABLE,3c5b2369,,,,,,,gl_wireless,CELLULAR_PHONE_CASE,"2335752011,2335753011",True,False,landing,12.0,3.01,,False,$10–25,10–20%,,7.2,2026-09-16 23:25:19.134315+00:00
B00SFSU53G,"Mounting Dream Full Motion TV Wall Mount for 32-70 Inch TVs up to 110lbs | Mount Bracket with Swivel and Tilt, TV Bracket with Articulating Dual Arms, Fits 16” Studs, Max VESA 400X400 mm, MD2380",Mounting Dream,306275,https://www.amazon.com/Mounting-Dream-Bracket-Articulating-400x400mm/dp/B00SFSU53G,https://m.media-amazon.com/images/I/41OAL0xNuuL,USD,34.19,37.99,10.0,10% off,BEST_DEAL,AVAILABLE,fc3c88ac,,,,,,,gl_home_entertainment,FLAT_SCREEN_DISPLAY_MOUNT,"1266092011,172282,493964",True,False,landing,10.0,3.8,,False,$25–50,0–10%,,6.0,2026-09-16 23:25:19.134315+00:00
B0DWXBCQVP,"roborock Q10 S5+ Robot Vacuum and Mop, 10,000Pa Suction | Upgraded from Q8 max+, 70-Day Self-Emptying, Obstacle Avoidance, Sonic Mopping, Dual Anti-Tangle Design, Auto Mop Lift, Black",roborock,316796,https://www.amazon.com/roborock-Q10-S5-Self-Emptying-Anti-Tangle/dp/B0DWXBCQVP,https://m.media-amazon.com/images/I/31TzU0YZA6L,USD,,,,,,,,,,,,,,gl_home,ROBOTIC_VACUUM_CLEANER,"16310091,16310161",True,False,landing,,,,False,,,,0.0,2026-09-16 23:25:19.134315+00:00
B0H5WSCS5D,"TORRAS Q3 Air for iPhone 18 Pro Max Case, 360 Magnetic Stand-Cosmic Purple | AirPro Cushion, Fit for MagSafe, Heavy Duty Impact Protection, Camera Control Button, Tough Durable Phone Case, 6.9 inch",TORRAS,170020,https://www.amazon.com/TORRAS-iPhone-Magnetic-Stand-Cosmic-Purple/dp/B0H5WSCS5D,https://m.media-amazon.com/images/I/41Id43HHXQL,USD,59.39,65.99,10.0,10% off,BEST_DEAL,AVAILABLE,04003049,,,,,,,gl_wireless,CELLULAR_PHONE_CASE,"2335752011,2335753011",True,False,landing,10.0,6.6,,False,$50–100,0–10%,,6.0,2026-09-16 23:25:19.134315+00:00
B0CM5C15ZD,"Cottonelle Ultra Soft Toilet Paper, 24 Family Mega Rolls=108 Regular Rolls",Cottonelle,237748,https://www.amazon.com/Cottonelle-Comfort-Cushiony-CleaningRipples-Packaging/dp/B0CM5C15ZD,https://m.media-amazon.com/images/I/51mQcsFGMEL,USD,24.82,27.59,10.0,10% off,BEST_DEAL,AVAILABLE,02711399,,,,,,,gl_drugstore,TOILET_PAPER,"3760901,3760931",False,False,landing,10.0,2.77,,False,$10–25,0–10%,,6.0,2026-09-16 23:25:19.134315+00:00
B0C7Z8HXWJ,"G4Free Yoga Pants for Women Wide Leg Pants with Pockets High Waisted | Moisture Wicking, Soft Comfortable Feel, 4-Way Stretch, Faux Fly, Faux Back Pockets, Yoga, Work & Casual Wear",G4Free,437703,https://www.amazon.com/G4Free-Sweatpants-Slacks-Business-Pockets/dp/B0C7Z8HXWJ,https://m.media-amazon.com/images/I/31J4PLAN6uL,USD,29.58,36.99,20.0,20% off,LIGHTNING_DEAL,AVAILABLE,1f21b602,3.0,2026-09-17 05:40:00+00:00,,,,,gl_apparel,PANTS,"7141123011,7141124011",True,False,landing,20.0,7.41,6.2,True,$25–50,10–20%,,12.0,2026-09-16 23:25:19.134315+00:00
B0CT9552BL,"Dyson V8 Plus Cordless Vacuum, Cleans Hard Floors and Carpets, Detangles, Converts to Handheld, 115AW, 2 Power Modes, Up to 40 Minutes¹",Dyson,213739,https://www.amazon.com/Dyson-Cordless-Vacuum-Silver-Nickel/dp/B0CT9552BL,https://m.media-amazon.com/images/I/31amafoLpaL,USD,449.0,,,,,,,,,,,,,gl_home,VACUUM_CLEANER,"1055398,1063498",True,False,landing,,,,False,$250+,,,0.0,2026-09-16 23:25:19.134315+00:00
